ObjectType name__ObjectType code__image path__shadow path__frame(col row width height)__colison box(x y w h)
BENCHE_FRONT 1 acces/ObjectImage/benche_front.png acces/ObjectImage/benche_front_shadow.png 1 1 112 82 0 38 112 44
BENCHE_LEFT 2  acces/ObjectImage/benche_left.png acces/ObjectImage/benche_left_shadow.png 1 1 54 122 0 22 54 100
BENCHE_RIGHT 3  acces/ObjectImage/benche_right.png none 1 1 54 122 0 22 54 100
RIP_1 4 acces/ObjectImage/rip_1.png acces/ObjectImage/rip_1_shadow.png 1 1 52 80 8 46 36 34
RIP_2 5 acces/ObjectImage/rip_2.png acces/ObjectImage/rip_2_shadow.png 1 1 60 82 0 48 60 34
RIP_3 6 acces/ObjectImage/rip_3.png acces/ObjectImage/rip_3_shadow.png 1 1 60 58 0 18 60 40
ROCK_COLUMN_1 7 acces/ObjectImage/rock_column_1.png acces/ObjectImage/rock_column_1_shadow.png 1 1 52 76 0 46 52 30
ROCK_COLUMN_2 8 acces/ObjectImage/rock_column_2.png acces/ObjectImage/rock_column_2_shadow.png 1 1 52 132 0 100 52 32
ROCK_COLUMN_3 9 acces/ObjectImage/rock_column_3.png acces/ObjectImage/rock_column_3_shadow.png 1 1 52 104 0 72 52 32
ROCK_COLUMN_4 10 acces/ObjectImage/rock_column_4.png acces/ObjectImage/rock_column_4_shadow.png 1 1 64 154 0 100 64 54
ROCK_COLUMN_5 11 acces/ObjectImage/rock_column_5.png acces/ObjectImage/rock_column_5_shadow.png 1 1 64 114 0 60 64 54
TOMB_VERTICAL 12 acces/ObjectImage/tomb_ver.png acces/ObjectImage/tomb_ver_shadow.png 1 1 64 114 0 22 64 92
TOMB_HOZIROL 13 acces/ObjectImage/tomb_hoz.png none 1 1 128 72 0 22 128 50
ROCK_LAMP 14 acces/ObjectImage/rock_lamp.png acces/ObjectImage/rock_lamp_shadow.png 1 1 44 76 0 42 44 32
SIGN_LEFT 15 acces/ObjectImage/sign_left.png acces/ObjectImage/sign_left_shadow.png 1 1 54 64 24 58 12 6
SIGN_RIGHT 16 acces/ObjectImage/sign_right.png acces/ObjectImage/sign_left_shadow.png 1 1 54 64 24 58 12 6
WELL_BREAK 17 acces/ObjectImage/well_break.png acces/ObjectImage/well_break_shadow.png 1 1 110 98 0 24 110 74
JAR_1 18 acces/ObjectImage/jar_1.png acces/ObjectImage/jar_1_shadow.png 1 1 42 68 0 52 42 16
JAR_2 19 acces/ObjectImage/jar_2.png acces/ObjectImage/jar_2_shadow.png 1 1 50 54 0 30 50 24
JAR_3 20 acces/ObjectImage/jar_3.png acces/ObjectImage/jar_2_shadow.png 1 1 42 64 0 50 42 14
CHEST_1 21 acces/ObjectImage/chest_1.png none 1 1 64 62 0 37 64 25
